step,p3o,grpo
1,0.22265625,0.22265625
2,0.244140625,0.244140625
3,0.2661132813,0.2661132813
4,0.3125,0.3046875
5,0.3588867188,0.3686523438
6,0.4477539063,0.4458007813
7,0.4614257813,0.4516601563
8,0.6059570313,0.6083984375
9,0.5834960938,0.5771484375
10,0.6938476563,0.6801757813
11,0.6899414063,0.6967773438
12,0.6821289063,0.6962890625
13,0.6791992188,0.6889648438
14,0.6489257813,0.6826171875
15,0.6000976563,0.6362304688
16,0.6669921875,0.6923828125
17,0.6342773438,0.6591796875
18,0.6254882813,0.6372070313
19,0.6381835938,0.6298828125
20,0.630859375,0.5810546875
21,0.6225585938,0.5673828125
22,0.6059570313,0.4360351563
23,0.6455078125,0.19921875
24,0.6591796875,0.162109375
25,0.6616210938,0.1235351563
26,0.6206054688,0.20703125
27,0.6103515625,0.240234375
28,0.6342773438,0.2465820313
29,0.6342773438,0.2109375
30,0.6064453125,0.1596679688
31,0.6079101563,0.1171875
32,0.6328125,0.08935546875
33,0.59375,
34,0.59765625,
35,0.5659179688,
36,0.6337890625,
